の, 助詞,連体化,*,*,*,*,の,ノ,ノ
建物, 名詞,一般,*,*,*,*,建物,タテモノ,タテモノ
また, 接続詞,*,*,*,*,*,また,マタ,マタ
み, 動詞,自立,*,*,一段,未然形,みる,ミ,ミ
者, 名詞,接尾,一般,*,*,*,者,シャ,シャ
死亡, 名詞,サ変接続,*,*,*,*,死亡,シボウ,シボー
発生, 名詞,サ変接続,*,*,*,*,発生,ハッセイ,ハッセイ
トランプ大統領, 名詞,固有名詞,人名,一般,*,*,ドナルド・トランプ,トランプダイトウリョウ,トランプダイトウリョー
合意, 名詞,サ変接続,*,*,*,*,合意,ゴウイ,ゴーイ
億, 名詞,数,*,*,*,*,億,オク,オク
に対し, 助詞,格助詞,連語,*,*,*,に対し,ニタイシ,ニタイシ
まで, 助詞,副助詞,*,*,*,*,まで,マデ,マデ
表明, 名詞,サ変接続,*,*,*,*,表明,ヒョウメイ,ヒョーメイ
なる, 動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
ＥＵ, 名詞,固有名詞,組織,*,*,*,EU,イーユー,イーユー
中国, 名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク
カタール, 名詞,固有名詞,地域,国,*,*,カタール,カタール,カタール
話し, 動詞,自立,*,*,五段・サ行,連用形,話す,ハナシ,ハナシ
AFP, 名詞,固有名詞,一般,*,*,*,AFP,エーエフピー,エーエフピー
メイ, 名詞,固有名詞,一般,*,*,*,“MAY”,メイ,メイ
～, 記号,一般,*,*,*,*,*
られる, 動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
示し, 動詞,自立,*,*,五段・サ行,連用形,示す,シメシ,シメシ
説明, 名詞,サ変接続,*,*,*,*,説明,セツメイ,セツメイ
キューバ, 名詞,固有名詞,地域,国,*,*,キューバ,キューバ,キューバ
万, 名詞,数,*,*,*,*,万,マン,マン
声明, 名詞,サ変接続,*,*,*,*,声明,セイメイ,セイメイ
共和党, 名詞,固有名詞,組織,*,*,*,共和党,キョウワトウ,キョーワトー
あり, 動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ
情報, 名詞,一般,*,*,*,*,情報,ジョウホウ,ジョーホー
う, 助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
一方, 接続詞,*,*,*,*,*,一方,イッポウ,イッポー
長官, 名詞,一般,*,*,*,*,長官,チョウカン,チョーカン
疑惑, 名詞,一般,*,*,*,*,疑惑,ギワク,ギワク
大規模, 名詞,一般,*,*,*,*,大規模,ダイキボ,ダイキボ
に対する, 助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル
爆発, 名詞,サ変接続,*,*,*,*,爆発,バクハツ,バクハツ
もの, 名詞,非自立,一般,*,*,*,もの,モノ,モノ
交渉, 名詞,サ変接続,*,*,*,*,交渉,コウショウ,コーショー
14日, 名詞,固有名詞,一般,*,*,*,14日,ジュウヨッカ,ジュウヨッカ
これ, 名詞,代名詞,一般,*,*,*,これ,コレ,コレ
保守党, 名詞,固有名詞,組織,*,*,*,保守党,ホシュトウ,ホシュトー
英国, 名詞,固有名詞,地域,国,*,*,英国,エイコク,エイコク
内, 名詞,接尾,一般,*,*,*,内,ナイ,ナイ
自身, 名詞,一般,*,*,*,*,自身,ジシン,ジシン
指摘, 名詞,サ変接続,*,*,*,*,指摘,シテキ,シテキ
ず, 助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
その, 連体詞,*,*,*,*,*,その,ソノ,ソノ
確認, 名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
住民, 名詞,一般,*,*,*,*,住民,ジュウミン,ジューミン
民主党, 名詞,固有名詞,組織,*,*,*,民主党,ミンシュトウ,ミンシュトー
政府, 名詞,一般,*,*,*,*,政府,セイフ,セイフ
英, 名詞,固有名詞,地域,国,*,*,英,エイ,エイ
問題, 名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
ただ, 接続詞,*,*,*,*,*,ただ,タダ,タダ
による, 助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
円, 名詞,接尾,助数詞,*,*,*,円,エン,エン
男, 名詞,一般,*,*,*,*,男,オトコ,オトコ
編集, 名詞,サ変接続,*,*,*,*,編集,ヘンシュウ,ヘンシュー
後, 名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
階, 名詞,接尾,助数詞,*,*,*,階,カイ,カイ
関係, 名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
翻訳, 名詞,サ変接続,*,*,*,*,翻訳,ホンヤク,ホンヤク
負傷, 名詞,サ変接続,*,*,*,*,負傷,フショウ,フショー
スカ, 名詞,一般,*,*,*,*,スカ,スカ,スカ
求め, 動詞,自立,*,*,一段,連用形,求める,モトメ,モトメ
リス, 名詞,一般,*,*,*,*,リス,リス,リス
AFPBB News, 名詞,固有名詞,一般,*,*,*,AFPBB News,エーエフピービービーニュース,エーエフピービービーニュース
ツイッター, 名詞,固有名詞,組織,*,*,*,Twitter,ツイッター,ツイッター
伝え, 動詞,自立,*,*,一段,連用形,伝える,ツタエ,ツタエ
き, 動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ
現場, 名詞,一般,*,*,*,*,現場,ゲンバ,ゲンバ
メディア, 名詞,一般,*,*,*,*,メディア,メディア,メディア
報道, 名詞,サ変接続,*,*,*,*,報道,ホウドウ,ホードー
時, 名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
主張, 名詞,サ変接続,*,*,*,*,主張,シュチョウ,シュチョー
報じ, 動詞,自立,*,*,一段,連用形,報じる,ホウジ,ホージ
首都, 名詞,一般,*,*,*,*,首都,シュト,シュト
認め, 動詞,自立,*,*,一段,連用形,認める,ミトメ,ミトメ
証言, 名詞,サ変接続,*,*,*,*,証言,ショウゲン,ショーゲン
事件, 名詞,一般,*,*,*,*,事件,ジケン,ジケン
西部, 名詞,一般,*,*,*,*,西部,セイブ,セイブ
一部, 名詞,副詞可能,*,*,*,*,一部,イチブ,イチブ
』, 記号,括弧閉,*,*,*,*,』,』,』
以上, 名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
懸念, 名詞,サ変接続,*,*,*,*,懸念,ケネン,ケネン
分かっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,分かる,ワカッ,ワカッ
日本時間, 名詞,固有名詞,一般,*,*,*,日本時間,ニホンジカン,ニホンジカン
批判, 名詞,サ変接続,*,*,*,*,批判,ヒハン,ヒハン
会合, 名詞,サ変接続,*,*,*,*,会合,カイゴウ,カイゴー
下院, 名詞,固有名詞,組織,*,*,*,下院,カイン,カイン
あっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
解任, 名詞,サ変接続,*,*,*,*,解任,カイニン,カイニン
『, 記号,括弧開,*,*,*,*,『,『,『
事業, 名詞,一般,*,*,*,*,事業,ジギョウ,ジギョー
私, 名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ
語っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,語る,カタッ,カタッ
さらに, 副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ
午前, 名詞,副詞可能,*,*,*,*,午前,ゴゼン,ゴゼン
撃た, 動詞,自立,*,*,五段・タ行,未然形,撃つ,ウタ,ウタ
よれ, 動詞,自立,*,*,五段・ラ行,仮定形,よる,ヨレ,ヨレ
ＩＳ, 名詞,固有名詞,組織,*,*,*,*
消火, 名詞,サ変接続,*,*,*,*,消火,ショウカ,ショーカ
第, 接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
ドル, 名詞,接尾,助数詞,*,*,*,ドル,ドル,ドル
住人, 名詞,一般,*,*,*,*,住人,ジュウニン,ジューニン
でき, 動詞,自立,*,*,一段,連用形,できる,デキ,デキ
影響, 名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー
強調, 名詞,サ変接続,*,*,*,*,強調,キョウチョウ,キョーチョー
原因, 名詞,一般,*,*,*,*,原因,ゲンイン,ゲンイン
不明, 名詞,形容動詞語幹,*,*,*,*,不明,フメイ,フメイ
パナマ, 名詞,固有名詞,地域,国,*,*,パナマ,パナマ,パナマ
％, 名詞,接尾,助数詞,*,*,*,%,パーセント,パーセント
銃撃, 名詞,サ変接続,*,*,*,*,銃撃,ジュウゲキ,ジューゲキ
米大統領, 名詞,固有名詞,一般,*,*,*,米大統領,アメリカダイトウリョウ,アメリカダイトウリョー
議会, 名詞,一般,*,*,*,*,議会,ギカイ,ギカイ
拘束, 名詞,サ変接続,*,*,*,*,拘束,コウソク,コーソク
企業, 名詞,一般,*,*,*,*,企業,キギョウ,キギョー
同氏, 名詞,一般,*,*,*,*,同氏,ドウシ,ドーシ
多く, 名詞,副詞可能,*,*,*,*,多く,オオク,オーク
状態, 名詞,一般,*,*,*,*,状態,ジョウタイ,ジョータイ
近く, 名詞,副詞可能,*,*,*,*,近く,チカク,チカク
パリ協定, 名詞,固有名詞,一般,*,*,*,パリ協定,パリキョウテイ,パリキョーテイ
高層, 名詞,一般,*,*,*,*,高層,コウソウ,コーソー
全体, 名詞,副詞可能,*,*,*,*,全体,ゼンタイ,ゼンタイ
に対して, 助詞,格助詞,連語,*,*,*,に対して,ニタイシテ,ニタイシテ
シリア, 名詞,固有名詞,地域,国,*,*,シリア,シリア,シリア
向け, 動詞,自立,*,*,一段,連用形,向ける,ムケ,ムケ
アパート, 名詞,一般,*,*,*,*,アパート,アパート,アパート
同日, 名詞,副詞可能,*,*,*,*,同日,ドウジツ,ドージツ
閣僚, 名詞,一般,*,*,*,*,閣僚,カクリョウ,カクリョー
記者会見, 名詞,固有名詞,一般,*,*,*,記者会見,キシャカイケン,キシャカイケン
現在, 名詞,副詞可能,*,*,*,*,現在,ゲンザイ,ゲンザイ
高層住宅, 名詞,固有名詞,一般,*,*,*,高層住宅,コウソウジュウタク,コーソージュータク
必要, 名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
バナナ, 名詞,一般,*,*,*,*,バナナ,バナナ,バナナ
だろ, 助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
続け, 動詞,非自立,*,*,一段,連用形,続ける,ツヅケ,ツズケ
ＤＵＰ, 名詞,固有名詞,一般,*,*,*,DUP,ディーユーピィー,ディーユーピィー
できる, 動詞,自立,*,*,一段,基本形,できる,デキル,デキル
日韓, 名詞,固有名詞,一般,*,*,*,日韓,ニッカン,ニッカン
上院, 名詞,固有名詞,組織,*,*,*,上院,ジョウイン,ジョーイン
支援, 名詞,サ変接続,*,*,*,*,支援,シエン,シエン
元, 接頭詞,名詞接続,*,*,*,*,元,モト,モト
周辺, 名詞,一般,*,*,*,*,周辺,シュウヘン,シューヘン
コミー, 名詞,固有名詞,組織,*,*,*,コミー,コミー,コミー
より, 助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
ラシェド, 名詞,一般,*,*,*,*,*
消防, 名詞,一般,*,*,*,*,消防,ショウボウ,ショーボー
べき, 助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
出身, 名詞,一般,*,*,*,*,出身,シュッシン,シュッシン
今回, 名詞,副詞可能,*,*,*,*,今回,コンカイ,コンカイ
特集, 名詞,サ変接続,*,*,*,*,特集,トクシュウ,トクシュー
ニュース, 名詞,一般,*,*,*,*,ニュース,ニュース,ニュース
米国人, 名詞,固有名詞,一般,*,*,*,米国人,ベイコクジン,ベイコクジン
モラー, 名詞,一般,*,*,*,*,*
セッションズ, 名詞,固有名詞,一般,*,*,*,セッションズ,セッションズ,セッションズ
たり, 助詞,並立助詞,*,*,*,*,たり,タリ,タリ
13日, 名詞,固有名詞,一般,*,*,*,13日,ジュウサンニチ,ジュウサンニチ
断交, 名詞,サ変接続,*,*,*,*,断交,ダンコウ,ダンコー
慰安婦問題, 名詞,固有名詞,一般,*,*,*,慰安婦問題,イアンフモンダイ,イアンフモンダイ
側, 名詞,接尾,一般,*,*,*,側,ガワ,ガワ
当局者, 名詞,固有名詞,一般,*,*,*,当局者,トウキョクシャ,トーキョクシャ
声, 名詞,一般,*,*,*,*,声,コエ,コエ
どう, 副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
家族, 名詞,一般,*,*,*,*,家族,カゾク,カゾク
ホテル, 名詞,一般,*,*,*,*,ホテル,ホテル,ホテル
司法長官, 名詞,固有名詞,人名,一般,*,*,司法長官,シホウチョウカン,シホーチョーカン
国, 名詞,接尾,一般,*,*,*,国,コク,コク
記録, 名詞,サ変接続,*,*,*,*,記録,キロク,キロク
欧州連合, 名詞,固有名詞,一般,*,*,*,欧州連合,オウシュウレンゴウ,オーシューレンゴー
立場, 名詞,一般,*,*,*,*,立場,タチバ,タチバ
見, 動詞,自立,*,*,一段,連用形,見る,ミ,ミ
間, 名詞,接尾,一般,*,*,*,間,カン,カン
バーレーン, 名詞,固有名詞,地域,国,*,*,バーレーン,バーレーン,バーレーン
炎, 名詞,一般,*,*,*,*,炎,ホノオ,ホノオ
せ, 動詞,接尾,*,*,一段,連用形,せる,セ,セ
訪問, 名詞,サ変接続,*,*,*,*,訪問,ホウモン,ホーモン
恐れ, 名詞,一般,*,*,*,*,恐れ,オソレ,オソレ
院内, 名詞,一般,*,*,*,*,院内,インナイ,インナイ
経営, 名詞,サ変接続,*,*,*,*,経営,ケイエイ,ケイエイ
参加, 名詞,サ変接続,*,*,*,*,参加,サンカ,サンカ
国交, 名詞,一般,*,*,*,*,国交,コッコウ,コッコー
なら, 助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
ワームビア, 名詞,一般,*,*,*,*,*
12日, 名詞,固有名詞,一般,*,*,*,12日,ジュウニニチ,ジュウニニチ
総選挙, 名詞,固有名詞,一般,*,*,*,総選挙,ソウセンキョ,ソーセンキョ
調査, 名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
姿勢, 名詞,一般,*,*,*,*,姿勢,シセイ,シセイ
協定, 名詞,サ変接続,*,*,*,*,協定,キョウテイ,キョーテイ
複数, 名詞,一般,*,*,*,*,複数,フクスウ,フクスー
投票, 名詞,サ変接続,*,*,*,*,投票,トウヒョウ,トーヒョー
起き, 動詞,自立,*,*,一段,連用形,起きる,オキ,オキ
他, 名詞,一般,*,*,*,*,他,タ,タ
行わ, 動詞,自立,*,*,五段・ワ行促音便,未然形,行う,オコナワ,オコナワ
国民, 名詞,一般,*,*,*,*,国民,コクミン,コクミン
フランス, 名詞,固有名詞,地域,国,*,*,フランス,フランス,フランス
だが, 接続詞,*,*,*,*,*,だが,ダガ,ダガ
に関する, 助詞,格助詞,連語,*,*,*,に関する,ニカンスル,ニカンスル
ＦＢＩ, 名詞,固有名詞,組織,*,*,*,FBI,エフビーアイ,エフビーアイ
グループ, 名詞,一般,*,*,*,*,グループ,グループ,グループ
投稿, 名詞,サ変接続,*,*,*,*,投稿,トウコウ,トーコー
幹事, 名詞,一般,*,*,*,*,幹事,カンジ,カンジ
議席, 名詞,一般,*,*,*,*,議席,ギセキ,ギセキ
共和国前進, 名詞,固有名詞,一般,*,*,*,共和国前進,キョウワコクゼンシン,キョーワコクゼンシン
年間, 名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン
今年, 名詞,副詞可能,*,*,*,*,今年,コトシ,コトシ
連携, 名詞,サ変接続,*,*,*,*,連携,レンケイ,レンケイ
設置, 名詞,サ変接続,*,*,*,*,設置,セッチ,セッチ
台湾, 名詞,固有名詞,地域,国,*,*,台湾,タイワン,タイワン
樹立, 名詞,サ変接続,*,*,*,*,樹立,ジュリツ,ジュリツ
難航, 名詞,サ変接続,*,*,*,*,難航,ナンコウ,ナンコー
うち, 名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ
契約, 名詞,サ変接続,*,*,*,*,契約,ケイヤク,ケイヤク
政策, 名詞,一般,*,*,*,*,政策,セイサク,セイサク
11日, 名詞,固有名詞,一般,*,*,*,11日,ジュウイチニチ,ジュウイチニチ
行っ, 動詞,自立,*,*,五段・ワ行促音便,連用タ接続,行う,オコナッ,オコナッ
担当, 名詞,サ変接続,*,*,*,*,担当,タントウ,タントー
方針, 名詞,一般,*,*,*,*,方針,ホウシン,ホーシン
当時, 名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
モスル, 名詞,固有名詞,一般,*,*,*,モスル,モスル,モスル
人々, 名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
地域, 名詞,一般,*,*,*,*,地域,チイキ,チイキ
［, 記号,括弧開,*,*,*,*,［,［,［
女性, 名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ
窓, 名詞,一般,*,*,*,*,窓,マド,マド
結果, 名詞,副詞可能,*,*,*,*,結果,ケッカ,ケッカ
病院, 名詞,一般,*,*,*,*,病院,ビョウイン,ビョーイン
たら, 助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
彼, 名詞,代名詞,一般,*,*,*,彼,カレ,カレ
少なくとも, 副詞,一般,*,*,*,*,少なくとも,スクナクトモ,スクナクトモ
ラッカ, 名詞,固有名詞,一般,*,*,*,ラッカ,ラッカ,ラッカ
未明, 名詞,副詞可能,*,*,*,*,未明,ミメイ,ミメイ
-, 記号,一般,*,*,*,*,*
解決, 名詞,サ変接続,*,*,*,*,解決,カイケツ,カイケツ
たい, 助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
息子, 名詞,一般,*,*,*,*,息子,ムスコ,ムスコ
教授, 名詞,一般,*,*,*,*,教授,キョウジュ,キョージュ
法, 名詞,接尾,一般,*,*,*,法,ホウ,ホー
犠牲者, 名詞,固有名詞,一般,*,*,*,犠牲者,ギセイシャ,ギセイシャ
対応, 名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
重要, 名詞,形容動詞語幹,*,*,*,*,重要,ジュウヨウ,ジューヨー
獲得, 名詞,サ変接続,*,*,*,*,獲得,カクトク,カクトク
飛行船, 名詞,一般,*,*,*,*,飛行船,ヒコウセン,ヒコウセン
捜索, 名詞,サ変接続,*,*,*,*,捜索,ソウサク,ソーサク
Whom, 名詞,一般,*,*,*,*,*
下院議員, 名詞,固有名詞,一般,*,*,*,下院議員,カインギイン,カインギーン
ロイター, 名詞,固有名詞,組織,*,*,*,ロイター,ロイター,ロイター
により, 助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
欧州, 名詞,固有名詞,地域,一般,*,*,欧州,オウシュウ,オーシュー
兵士, 名詞,一般,*,*,*,*,兵士,ヘイシ,ヘイシ
］, 記号,括弧閉,*,*,*,*,］,］,］
to, 名詞,固有名詞,一般,*,*,*,TO,トゥ,トゥ
初めて, 副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ
ギリシャ, 名詞,固有名詞,地域,国,*,*,ギリシャ,ギリシャ,ギリシャ
ところ, 名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ
受ける, 動詞,自立,*,*,一段,基本形,受ける,ウケル,ウケル
警官, 名詞,一般,*,*,*,*,警官,ケイカン,ケイカン
関係者, 名詞,固有名詞,一般,*,*,*,関係者,カンケイシャ,カンケイシャ
上, 名詞,接尾,副詞可能,*,*,*,上,ジョウ,ジョー
選出, 名詞,サ変接続,*,*,*,*,選出,センシュツ,センシュツ
ほか, 名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
利益, 名詞,一般,*,*,*,*,利益,リエキ,リエキ
支持, 名詞,サ変接続,*,*,*,*,支持,シジ,シジ
空爆, 名詞,サ変接続,*,*,*,*,空爆,クウバク,クーバク
内容, 名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
仏, 名詞,固有名詞,地域,国,*,*,仏,フツ,フツ
被害者, 名詞,固有名詞,一般,*,*,*,被害者,ヒガイシャ,ヒガイシャ
請求権, 名詞,固有名詞,一般,*,*,*,請求権,セイキュウケン,セイキューケン
紙, 名詞,接尾,一般,*,*,*,紙,シ,シ
会談, 名詞,サ変接続,*,*,*,*,会談,カイダン,カイダン
内部, 名詞,一般,*,*,*,*,内部,ナイブ,ナイブ
搬送, 名詞,サ変接続,*,*,*,*,搬送,ハンソウ,ハンソー
実施, 名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
ロッドマン, 名詞,固有名詞,一般,*,*,*,ロッドマン,ロッドマン,ロッドマン
ユーロ, 名詞,一般,*,*,*,*,ユーロ,ユーロ,ユーロ
訴え, 動詞,自立,*,*,一段,連用形,訴える,ウッタエ,ウッタエ
開始, 名詞,サ変接続,*,*,*,*,開始,カイシ,カイシ
危険, 名詞,形容動詞語幹,*,*,*,*,危険,キケン,キケン
16日, 名詞,固有名詞,一般,*,*,*,16日,ジュウロクニチ,ジュウロクニチ
なけれ, 助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
入っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ
措置, 名詞,サ変接続,*,*,*,*,措置,ソチ,ソチ
含む, 動詞,自立,*,*,五段・マ行,基本形,含む,フクム,フクム
化, 名詞,接尾,サ変接続,*,*,*,化,カ,カ
予定, 名詞,サ変接続,*,*,*,*,予定,ヨテイ,ヨテイ
