・	あーんど٩( ᐛ )و
）	)
」	♡」
『	『なんかぁ、
』	ｏ( ﾟ∀ﾟ)ﾉｼ』
【	 【*:..｡o○ 
】	o｡..:* ☆.。.:*】
～	からのぉ〜
1位	いちばん
2位	にばん
3位	さんばん
あなた	ユー
アピール	アピ
いい	イイ（・∀・）
いわゆる	まー、言っちゃえば☆
所謂	まー、言っちゃえば☆
エコ	エコチュー
かつ	さらにさらに
かつて	わず
グループ	卍卍仲間卍卍
この	こんな感じの
コメント	コメ
さらなる	次の次のずーっと先の
さらに	もっというとぉ
さん	ぴょん
しかし	しかぁーしっ、
すぐ	秒で
すばらしい	やばい
そういった	ってかんじの〜
その	そっちの
だが	だと思うじゃん？
ただ	やばば。
ちょっとした	しょっぱい
つながり	卍卍つながり卍卍
できる	でける
どの	どっちの
トランプ大統領	トランプちゃん
トランプ氏	トランプちゃん
ドル	ドル( ＄Д＄)
ない	なぁーい
など	とかとか
ニュース	めざにゅ〜
バナナ	ばなーな
また	りょ！んで、
まま	ママ
メモ	メモφ(.. )
ユーロ	ユーロ( €Д€)
よく	ありよりのあり
ら	とか＋α
られる	られちゃう
わが	うちらの
一方	でも、あたしの大好きな爬虫類系男子のケイ君がさー
一族	卍卍ファミリー卍卍
一時	いち
不安	ネガる
不明	なにそれ。おいしいの？
主張	ありよりのありで主張
交通網	アシキタス
今回	なう
以上	以上 (☝՞ਊ ՞)☝
以前	わず
企業	かいしぁ
会合	あつまり
億	ｵｸ
元	むかしはそーっだったかもだけど
全体	オール
円	円( ￥Д￥)
再	もっかぃ
協定	やくそく
参加	ジョイン
取りあえず	とりま
可能性	チャンス
合意	りょ・∀・）人（・∀・
同	おんなじ
同じ	おそろな
同日	きょう
名字	ネーム
周辺	のまわり
呼び掛け	かまちょ
回答	リプ
国	ネイション
国民	ネイションのみんな
報じ	拡散され
多く	めっちゃ
大きな	めっちゃ
大丈夫	おk
大変	おごとー
大統領	だぃとーりょ
大規模	超でっかい
夫	アモーレ
夫人	アモーレ
好意	すこ
妻	アモーレ
姿勢	いきおい
家族	卍ふぁみりー卍
容疑者	やべーゃっ
小さな	マジ小さい
少なくとも	とりま
帰国	きた
幹事	きゃんG
強力	パワフル o(･Θ･)○☆
当面	とりま
復活	ﾌｯｶﾂ♪ヽ(´Д｀*)ﾉ≡ヽ(*´Д｀)ﾉﾌｯｶﾂ♪
恐れ	キケン٩(๑òωó๑)۶
悪化	さげぽよ
感謝	あざお
批判	ブーメラン
投稿	パクツイ
捜査	ググり
支援	ヤシマ作戦(๑•̀ㅂ•́)و✧
断交	既読スルー
新	にゅー
旧	むかしの
最も	いちばん
概ね	ほぼほぼ
欧州連合	ヨーロッパのパリピ
残念	しょぼん(´・∀・｀)
氏	ちゃん
気がする	希ガス
消火	水かけ
消防	ファイヤーマン
温暖化対策	エコ対策
犬	わんこ
猫	にゃんこ
現	いまの
現在	なう
発表	思い出補正
盛会	あげぽよ₍₍ ◝('ω'◝) ⁾⁾ ₍₍ (◟'ω')◟ ⁾⁾
盛大	あげぽよ₍₍ ◝('ω'◝) ⁾⁾ ₍₍ (◟'ω')◟ ⁾⁾
相当	ほぼほぼ
破壊	あぼーん
確認	そま？
私	ゎたし
第	最初を1とするとー。えーっと。そぅ！
米国人	アメリカン
米大統領	トランプちょん
約	まぁ〜だぃたぃ
翌	つぎの
臆病者	チキン
花嫁	花嫁
複数	たくさん
解任	おめぇ辞めれって
記者会見	オフ会
記録	ログ
訪問	ほーもん
調査	リサーチ
謝意	うれぴよ
謝罪	すんません (○´―`)ゞ ﾎﾟﾘﾎﾟﾘ
警察	ポリス
議会	あつまり
議員	議員ぴょん
近く	ニア
遺憾	＼＼٩(๑`^´๑)۶／／ 激ｵｺ！
銃撃	(ﾉ･ｪ･)ﾉ --==≡炎ヽ(ﾟД~ )ﾉ炎ｱﾁﾁﾁ!!!
閣僚	パリピ
陣営	パリピ
離脱	リダ
面倒	メンディー
首相	ちゃん
首脳	パリピ
高層	たっかぃ
高層マンション	タワマン
高層住宅	タワマン
初めて	ﾊｼﾞﾒﾃ
既に	もぅ
実際	リアル
特に	とくに(° ꈊ °)✧
同時に	あーんど٩( ᐛ )و
再び	ｱｹﾞｲﾝ
もし	ｲﾌ
本当に	ﾏｼﾞで
もちろん	もち
ほぼ	ほぼほぼ
全く	ぜんぜん
およそ	だぃたぃ
間もなく	もーすぐ
パターン	パティーン
雰囲気	バイブス
公共交通機関	ハム交
コンビニ弁当	ビニ弁
同意	禿同
被害妄想	ヒガモ
ゆるして	ゆるしてニャン
彼氏	彼ぴっぴ
彼女	リアカノ
サラリーマン	リーマン
住職	リア住
了解	りょ！
ワンパターン	ワンパ
